Path,Machine_Type,Dataset,Status,Machine_ID,Sample_ID,nb_echantillon,freq_echantillonnage
Data\fan\test\anomaly_id_00_00000135.wav,fan,test,anomaly,00,00000135,160000,16000
Data\fan\test\anomaly_id_00_00000136.wav,fan,test,anomaly,00,00000136,160000,16000
Data\fan\test\anomaly_id_00_00000137.wav,fan,test,anomaly,00,00000137,160000,16000
Data\fan\test\anomaly_id_00_00000138.wav,fan,test,anomaly,00,00000138,160000,16000
Data\fan\test\anomaly_id_00_00000139.wav,fan,test,anomaly,00,00000139,160000,16000
Data\fan\test\anomaly_id_00_00000140.wav,fan,test,anomaly,00,00000140,160000,16000
Data\fan\test\anomaly_id_00_00000141.wav,fan,test,anomaly,00,00000141,160000,16000
Data\fan\test\anomaly_id_00_00000142.wav,fan,test,anomaly,00,00000142,160000,16000
Data\fan\test\anomaly_id_00_00000143.wav,fan,test,anomaly,00,00000143,160000,16000
Data\fan\test\anomaly_id_00_00000144.wav,fan,test,anomaly,00,00000144,160000,16000
Data\fan\test\anomaly_id_00_00000145.wav,fan,test,anomaly,00,00000145,160000,16000
Data\fan\test\anomaly_id_00_00000146.wav,fan,test,anomaly,00,00000146,160000,16000
Data\fan\test\anomaly_id_00_00000147.wav,fan,test,anomaly,00,00000147,160000,16000
Data\fan\test\anomaly_id_00_00000148.wav,fan,test,anomaly,00,00000148,160000,16000
Data\fan\test\anomaly_id_00_00000149.wav,fan,test,anomaly,00,00000149,160000,16000
Data\fan\test\anomaly_id_00_00000150.wav,fan,test,anomaly,00,00000150,160000,16000
Data\fan\test\anomaly_id_00_00000151.wav,fan,test,anomaly,00,00000151,160000,16000
Data\fan\test\anomaly_id_00_00000152.wav,fan,test,anomaly,00,00000152,160000,16000
Data\fan\test\anomaly_id_00_00000153.wav,fan,test,anomaly,00,00000153,160000,16000
Data\fan\test\anomaly_id_00_00000154.wav,fan,test,anomaly,00,00000154,160000,16000
Data\fan\test\anomaly_id_00_00000155.wav,fan,test,anomaly,00,00000155,160000,16000
Data\fan\test\anomaly_id_00_00000156.wav,fan,test,anomaly,00,00000156,160000,16000
Data\fan\test\anomaly_id_00_00000157.wav,fan,test,anomaly,00,00000157,160000,16000
Data\fan\test\anomaly_id_00_00000158.wav,fan,test,anomaly,00,00000158,160000,16000
Data\fan\test\anomaly_id_00_00000159.wav,fan,test,anomaly,00,00000159,160000,16000
Data\fan\test\anomaly_id_00_00000160.wav,fan,test,anomaly,00,00000160,160000,16000
Data\fan\test\anomaly_id_00_00000161.wav,fan,test,anomaly,00,00000161,160000,16000
Data\fan\test\anomaly_id_00_00000162.wav,fan,test,anomaly,00,00000162,160000,16000
Data\fan\test\anomaly_id_00_00000163.wav,fan,test,anomaly,00,00000163,160000,16000
Data\fan\test\anomaly_id_00_00000164.wav,fan,test,anomaly,00,00000164,160000,16000
Data\fan\test\anomaly_id_00_00000165.wav,fan,test,anomaly,00,00000165,160000,16000
Data\fan\test\anomaly_id_00_00000166.wav,fan,test,anomaly,00,00000166,160000,16000
Data\fan\test\anomaly_id_00_00000167.wav,fan,test,anomaly,00,00000167,160000,16000
Data\fan\test\anomaly_id_00_00000168.wav,fan,test,anomaly,00,00000168,160000,16000
Data\fan\test\anomaly_id_00_00000169.wav,fan,test,anomaly,00,00000169,160000,16000
Data\fan\test\anomaly_id_00_00000170.wav,fan,test,anomaly,00,00000170,160000,16000
Data\fan\test\anomaly_id_00_00000171.wav,fan,test,anomaly,00,00000171,160000,16000
Data\fan\test\anomaly_id_00_00000172.wav,fan,test,anomaly,00,00000172,160000,16000
Data\fan\test\anomaly_id_00_00000173.wav,fan,test,anomaly,00,00000173,160000,16000
Data\fan\test\anomaly_id_00_00000174.wav,fan,test,anomaly,00,00000174,160000,16000
Data\fan\test\anomaly_id_00_00000175.wav,fan,test,anomaly,00,00000175,160000,16000
Data\fan\test\anomaly_id_00_00000176.wav,fan,test,anomaly,00,00000176,160000,16000
Data\fan\test\anomaly_id_00_00000177.wav,fan,test,anomaly,00,00000177,160000,16000
Data\fan\test\anomaly_id_00_00000178.wav,fan,test,anomaly,00,00000178,160000,16000
Data\fan\test\anomaly_id_00_00000179.wav,fan,test,anomaly,00,00000179,160000,16000
Data\fan\test\anomaly_id_00_00000180.wav,fan,test,anomaly,00,00000180,160000,16000
Data\fan\test\anomaly_id_00_00000181.wav,fan,test,anomaly,00,00000181,160000,16000
Data\fan\test\anomaly_id_00_00000182.wav,fan,test,anomaly,00,00000182,160000,16000
Data\fan\test\anomaly_id_00_00000183.wav,fan,test,anomaly,00,00000183,160000,16000
Data\fan\test\anomaly_id_00_00000184.wav,fan,test,anomaly,00,00000184,160000,16000
Data\fan\test\anomaly_id_00_00000185.wav,fan,test,anomaly,00,00000185,160000,16000
Data\fan\test\anomaly_id_00_00000186.wav,fan,test,anomaly,00,00000186,160000,16000
Data\fan\test\anomaly_id_00_00000187.wav,fan,test,anomaly,00,00000187,160000,16000
Data\fan\test\anomaly_id_00_00000188.wav,fan,test,anomaly,00,00000188,160000,16000
Data\fan\test\anomaly_id_00_00000189.wav,fan,test,anomaly,00,00000189,160000,16000
Data\fan\test\anomaly_id_00_00000190.wav,fan,test,anomaly,00,00000190,160000,16000
Data\fan\test\anomaly_id_00_00000191.wav,fan,test,anomaly,00,00000191,160000,16000
Data\fan\test\anomaly_id_00_00000192.wav,fan,test,anomaly,00,00000192,160000,16000
Data\fan\test\anomaly_id_00_00000193.wav,fan,test,anomaly,00,00000193,160000,16000
Data\fan\test\anomaly_id_00_00000194.wav,fan,test,anomaly,00,00000194,160000,16000
Data\fan\test\anomaly_id_00_00000195.wav,fan,test,anomaly,00,00000195,160000,16000
Data\fan\test\anomaly_id_00_00000196.wav,fan,test,anomaly,00,00000196,160000,16000
Data\fan\test\anomaly_id_00_00000197.wav,fan,test,anomaly,00,00000197,160000,16000
Data\fan\test\anomaly_id_00_00000198.wav,fan,test,anomaly,00,00000198,160000,16000
Data\fan\test\anomaly_id_00_00000199.wav,fan,test,anomaly,00,00000199,160000,16000
Data\fan\test\anomaly_id_00_00000200.wav,fan,test,anomaly,00,00000200,160000,16000
Data\fan\test\anomaly_id_00_00000201.wav,fan,test,anomaly,00,00000201,160000,16000
Data\fan\test\anomaly_id_00_00000202.wav,fan,test,anomaly,00,00000202,160000,16000
Data\fan\test\anomaly_id_00_00000203.wav,fan,test,anomaly,00,00000203,160000,16000
Data\fan\test\anomaly_id_00_00000204.wav,fan,test,anomaly,00,00000204,160000,16000
Data\fan\test\anomaly_id_00_00000205.wav,fan,test,anomaly,00,00000205,160000,16000
Data\fan\test\anomaly_id_00_00000206.wav,fan,test,anomaly,00,00000206,160000,16000
Data\fan\test\anomaly_id_00_00000207.wav,fan,test,anomaly,00,00000207,160000,16000
Data\fan\test\anomaly_id_00_00000208.wav,fan,test,anomaly,00,00000208,160000,16000
Data\fan\test\anomaly_id_00_00000209.wav,fan,test,anomaly,00,00000209,160000,16000
Data\fan\test\anomaly_id_00_00000210.wav,fan,test,anomaly,00,00000210,160000,16000
Data\fan\test\anomaly_id_00_00000211.wav,fan,test,anomaly,00,00000211,160000,16000
Data\fan\test\anomaly_id_00_00000212.wav,fan,test,anomaly,00,00000212,160000,16000
Data\fan\test\anomaly_id_00_00000213.wav,fan,test,anomaly,00,00000213,160000,16000
Data\fan\test\anomaly_id_00_00000214.wav,fan,test,anomaly,00,00000214,160000,16000
Data\fan\test\anomaly_id_00_00000215.wav,fan,test,anomaly,00,00000215,160000,16000
Data\fan\test\anomaly_id_00_00000216.wav,fan,test,anomaly,00,00000216,160000,16000
Data\fan\test\anomaly_id_00_00000217.wav,fan,test,anomaly,00,00000217,160000,16000
Data\fan\test\anomaly_id_00_00000218.wav,fan,test,anomaly,00,00000218,160000,16000
Data\fan\test\anomaly_id_00_00000219.wav,fan,test,anomaly,00,00000219,160000,16000
Data\fan\test\anomaly_id_00_00000220.wav,fan,test,anomaly,00,00000220,160000,16000
Data\fan\test\anomaly_id_00_00000221.wav,fan,test,anomaly,00,00000221,160000,16000
Data\fan\test\anomaly_id_00_00000222.wav,fan,test,anomaly,00,00000222,160000,16000
Data\fan\test\anomaly_id_00_00000223.wav,fan,test,anomaly,00,00000223,160000,16000
Data\fan\test\anomaly_id_00_00000224.wav,fan,test,anomaly,00,00000224,160000,16000
Data\fan\test\anomaly_id_00_00000225.wav,fan,test,anomaly,00,00000225,160000,16000
Data\fan\test\anomaly_id_00_00000226.wav,fan,test,anomaly,00,00000226,160000,16000
Data\fan\test\anomaly_id_00_00000227.wav,fan,test,anomaly,00,00000227,160000,16000
Data\fan\test\anomaly_id_00_00000228.wav,fan,test,anomaly,00,00000228,160000,16000
Data\fan\test\anomaly_id_00_00000229.wav,fan,test,anomaly,00,00000229,160000,16000
Data\fan\test\anomaly_id_00_00000230.wav,fan,test,anomaly,00,00000230,160000,16000
Data\fan\test\anomaly_id_00_00000231.wav,fan,test,anomaly,00,00000231,160000,16000
Data\fan\test\anomaly_id_00_00000232.wav,fan,test,anomaly,00,00000232,160000,16000
Data\fan\test\anomaly_id_00_00000233.wav,fan,test,anomaly,00,00000233,160000,16000
Data\fan\test\anomaly_id_00_00000234.wav,fan,test,anomaly,00,00000234,160000,16000
Data\fan\test\anomaly_id_00_00000235.wav,fan,test,anomaly,00,00000235,160000,16000
Data\fan\test\anomaly_id_00_00000236.wav,fan,test,anomaly,00,00000236,160000,16000
Data\fan\test\anomaly_id_00_00000237.wav,fan,test,anomaly,00,00000237,160000,16000
Data\fan\test\anomaly_id_00_00000238.wav,fan,test,anomaly,00,00000238,160000,16000
Data\fan\test\anomaly_id_00_00000239.wav,fan,test,anomaly,00,00000239,160000,16000
Data\fan\test\anomaly_id_00_00000240.wav,fan,test,anomaly,00,00000240,160000,16000
Data\fan\test\anomaly_id_00_00000241.wav,fan,test,anomaly,00,00000241,160000,16000
Data\fan\test\anomaly_id_00_00000242.wav,fan,test,anomaly,00,00000242,160000,16000
Data\fan\test\anomaly_id_00_00000243.wav,fan,test,anomaly,00,00000243,160000,16000
Data\fan\test\anomaly_id_00_00000244.wav,fan,test,anomaly,00,00000244,160000,16000
Data\fan\test\anomaly_id_00_00000245.wav,fan,test,anomaly,00,00000245,160000,16000
Data\fan\test\anomaly_id_00_00000246.wav,fan,test,anomaly,00,00000246,160000,16000
Data\fan\test\anomaly_id_00_00000247.wav,fan,test,anomaly,00,00000247,160000,16000
Data\fan\test\anomaly_id_00_00000248.wav,fan,test,anomaly,00,00000248,160000,16000
Data\fan\test\anomaly_id_00_00000249.wav,fan,test,anomaly,00,00000249,160000,16000
Data\fan\test\anomaly_id_00_00000250.wav,fan,test,anomaly,00,00000250,160000,16000
Data\fan\test\anomaly_id_00_00000251.wav,fan,test,anomaly,00,00000251,160000,16000
Data\fan\test\anomaly_id_00_00000252.wav,fan,test,anomaly,00,00000252,160000,16000
Data\fan\test\anomaly_id_00_00000253.wav,fan,test,anomaly,00,00000253,160000,16000
Data\fan\test\anomaly_id_00_00000254.wav,fan,test,anomaly,00,00000254,160000,16000
Data\fan\test\anomaly_id_00_00000255.wav,fan,test,anomaly,00,00000255,160000,16000
Data\fan\test\anomaly_id_00_00000256.wav,fan,test,anomaly,00,00000256,160000,16000
Data\fan\test\anomaly_id_00_00000257.wav,fan,test,anomaly,00,00000257,160000,16000
Data\fan\test\anomaly_id_00_00000258.wav,fan,test,anomaly,00,00000258,160000,16000
Data\fan\test\anomaly_id_00_00000259.wav,fan,test,anomaly,00,00000259,160000,16000
Data\fan\test\anomaly_id_00_00000260.wav,fan,test,anomaly,00,00000260,160000,16000
Data\fan\test\anomaly_id_00_00000261.wav,fan,test,anomaly,00,00000261,160000,16000
Data\fan\test\anomaly_id_00_00000262.wav,fan,test,anomaly,00,00000262,160000,16000
Data\fan\test\anomaly_id_00_00000263.wav,fan,test,anomaly,00,00000263,160000,16000
Data\fan\test\anomaly_id_00_00000264.wav,fan,test,anomaly,00,00000264,160000,16000
Data\fan\test\anomaly_id_00_00000265.wav,fan,test,anomaly,00,00000265,160000,16000
Data\fan\test\anomaly_id_00_00000266.wav,fan,test,anomaly,00,00000266,160000,16000
Data\fan\test\anomaly_id_00_00000267.wav,fan,test,anomaly,00,00000267,160000,16000
Data\fan\test\anomaly_id_00_00000268.wav,fan,test,anomaly,00,00000268,160000,16000
Data\fan\test\anomaly_id_00_00000269.wav,fan,test,anomaly,00,00000269,160000,16000
Data\fan\test\anomaly_id_00_00000270.wav,fan,test,anomaly,00,00000270,160000,16000
Data\fan\test\anomaly_id_00_00000271.wav,fan,test,anomaly,00,00000271,160000,16000
Data\fan\test\anomaly_id_00_00000272.wav,fan,test,anomaly,00,00000272,160000,16000
Data\fan\test\anomaly_id_00_00000273.wav,fan,test,anomaly,00,00000273,160000,16000
Data\fan\test\anomaly_id_00_00000274.wav,fan,test,anomaly,00,00000274,160000,16000
Data\fan\test\anomaly_id_00_00000275.wav,fan,test,anomaly,00,00000275,160000,16000
Data\fan\test\anomaly_id_00_00000276.wav,fan,test,anomaly,00,00000276,160000,16000
Data\fan\test\anomaly_id_00_00000277.wav,fan,test,anomaly,00,00000277,160000,16000
Data\fan\test\anomaly_id_00_00000278.wav,fan,test,anomaly,00,00000278,160000,16000
Data\fan\test\anomaly_id_00_00000279.wav,fan,test,anomaly,00,00000279,160000,16000
Data\fan\test\anomaly_id_00_00000280.wav,fan,test,anomaly,00,00000280,160000,16000
Data\fan\test\anomaly_id_00_00000281.wav,fan,test,anomaly,00,00000281,160000,16000
Data\fan\test\anomaly_id_00_00000282.wav,fan,test,anomaly,00,00000282,160000,16000
Data\fan\test\anomaly_id_00_00000283.wav,fan,test,anomaly,00,00000283,160000,16000
Data\fan\test\anomaly_id_00_00000284.wav,fan,test,anomaly,00,00000284,160000,16000
Data\fan\test\anomaly_id_00_00000285.wav,fan,test,anomaly,00,00000285,160000,16000
Data\fan\test\anomaly_id_00_00000286.wav,fan,test,anomaly,00,00000286,160000,16000
Data\fan\test\anomaly_id_00_00000287.wav,fan,test,anomaly,00,00000287,160000,16000
Data\fan\test\anomaly_id_00_00000288.wav,fan,test,anomaly,00,00000288,160000,16000
Data\fan\test\anomaly_id_00_00000289.wav,fan,test,anomaly,00,00000289,160000,16000
Data\fan\test\anomaly_id_00_00000290.wav,fan,test,anomaly,00,00000290,160000,16000
Data\fan\test\anomaly_id_00_00000291.wav,fan,test,anomaly,00,00000291,160000,16000
Data\fan\test\anomaly_id_00_00000292.wav,fan,test,anomaly,00,00000292,160000,16000
Data\fan\test\anomaly_id_00_00000293.wav,fan,test,anomaly,00,00000293,160000,16000
Data\fan\test\anomaly_id_00_00000294.wav,fan,test,anomaly,00,00000294,160000,16000
Data\fan\test\anomaly_id_00_00000295.wav,fan,test,anomaly,00,00000295,160000,16000
Data\fan\test\anomaly_id_00_00000296.wav,fan,test,anomaly,00,00000296,160000,16000
Data\fan\test\anomaly_id_00_00000297.wav,fan,test,anomaly,00,00000297,160000,16000
Data\fan\test\anomaly_id_00_00000298.wav,fan,test,anomaly,00,00000298,160000,16000
Data\fan\test\anomaly_id_00_00000299.wav,fan,test,anomaly,00,00000299,160000,16000
Data\fan\test\anomaly_id_00_00000300.wav,fan,test,anomaly,00,00000300,160000,16000
Data\fan\test\anomaly_id_00_00000301.wav,fan,test,anomaly,00,00000301,160000,16000
